name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Lou Williams","LA Clippers",2018-01-13,2017,2799,1610612746,400975374,4,5,46,0,"Alley Oop Layup shot","2PT Field Goal",1,"Sacramento Kings",-1,11,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-16,2017,2799,1610612746,400975183,2,3,11,1,"Cutting Dunk Shot","2PT Field Goal",1,"Miami Heat",-12,10,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-04,2017,2799,1610612746,400974882,4,9,27,0,"Cutting Dunk Shot","2PT Field Goal",1,"Memphis Grizzlies",6,15,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-27,2017,2799,1610612746,400975658,4,8,35,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",3,"Denver Nuggets",31,10,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-18,2017,2799,1610612746,400975795,2,7,30,1,"Cutting Layup Shot","2PT Field Goal",1,"Portland Trail Blazers",-8,12,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-10-24,2017,2799,1610612746,400974805,3,1,23,1,"Cutting Layup Shot","2PT Field Goal",1,"Utah Jazz",-13,6,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-25,2017,2799,1610612746,400975843,1,5,58,0,"Cutting Layup Shot","2PT Field Goal",3,"Toronto Raptors",2,32,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-08,2017,2799,1610612746,400975344,3,9,49,1,"Cutting Layup Shot","2PT Field Goal",3,"Atlanta Hawks",-31,5,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-26,2017,2799,1610612746,400975464,2,8,09,1,"Cutting Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",20,6,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-28,2017,2799,1610612746,400975868,3,3,37,1,"Cutting Layup Shot","2PT Field Goal",0,"Phoenix Suns",-1,1,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-02,2017,2799,1610612746,400975681,1,5,02,1,"Cutting Layup Shot","2PT Field Goal",1,"New York Knicks",14,8,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-05,2017,2799,1610612746,400974888,4,5,47,0,"Cutting Layup Shot","2PT Field Goal",1,"Miami Heat",4,12,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-27,2017,2799,1610612746,400975048,2,5,23,1,"Driving Dunk Shot","2PT Field Goal",1,"Los Angeles Lakers",6,17,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-04-07,2017,2799,1610612746,400975937,3,1,32,1,"Driving Dunk Shot","2PT Field Goal",1,"Denver Nuggets",4,11,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-16,2017,2799,1610612746,400975183,3,7,06,1,"Driving Dunk Shot","2PT Field Goal",0,"Miami Heat",1,8,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-23,2017,2799,1610612746,400975627,2,4,24,1,"Driving Dunk Shot","2PT Field Goal",0,"Phoenix Suns",-5,-2,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-27,2017,2799,1610612746,400975861,2,7,52,1,"Driving Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,3,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-08,2017,2799,1610612746,400975344,2,3,43,1,"Driving Dunk Shot","2PT Field Goal",1,"Atlanta Hawks",-9,16,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-04,2017,2799,1610612746,400975313,4,1,56,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Oklahoma City Thunder",0,10,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-23,2017,2799,1610612746,400975627,4,11,41,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Phoenix Suns",0,15,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-27,2017,2799,1610612746,400975658,2,2,08,0,"Driving Finger Roll Layup Shot","2PT Field Goal",3,"Denver Nuggets",28,14,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-04-07,2017,2799,1610612746,400975937,4,9,25,1,"Driving Finger Roll Layup Shot","2PT Field Goal",0,"Denver Nuggets",-1,5,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-14,2017,2799,1610612746,400975604,4,1,36,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Boston Celtics",8,10,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-04-05,2017,2799,1610612746,400975925,2,11,07,1,"Driving Finger Roll Layup Shot","2PT Field Goal",4,"Utah Jazz",-21,37,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-28,2017,2799,1610612746,400975868,4,10,26,1,"Driving Finger Roll Layup Shot","2PT Field Goal",0,"Phoenix Suns",0,8,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-04-03,2017,2799,1610612746,400975914,4,7,06,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"San Antonio Spurs",20,14,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-23,2017,2799,1610612746,400975824,4,5,57,1,"Driving Finger Roll Layup Shot","2PT Field Goal",0,"Indiana Pacers",3,-1,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-23,2017,2799,1610612746,400975824,2,3,56,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Indiana Pacers",-4,20,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-27,2017,2799,1610612746,400975048,3,1,31,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",8,15,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-10-26,2017,2799,1610612746,400974819,3,0,49,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Portland Trail Blazers",10,12,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-23,2017,2799,1610612746,400975238,4,7,10,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Memphis Grizzlies",2,10,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-04,2017,2799,1610612746,400975694,3,1,00,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Brooklyn Nets",6,26,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-16,2017,2799,1610612746,400975183,3,8,58,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Miami Heat",-13,9,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-18,2017,2799,1610612746,400975795,4,3,45,0,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Portland Trail Blazers",17,10,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-12,2017,2799,1610612746,400975589,4,8,24,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Brooklyn Nets",3,15,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-22,2017,2799,1610612746,400975618,1,2,52,1,"Driving Finger Roll Layup Shot","2PT Field Goal",6,"Golden State Warriors",3,67,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-21,2017,2799,1610612746,0,1,2,49,1,"Driving Finger Roll Layup Shot","2PT Field Goal",0,"Milwaukee Bucks",-8,-2,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-06,2017,2799,1610612746,400975113,2,2,31,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Minnesota Timberwolves",-4,14,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-23,2017,2799,1610612746,400975238,1,1,42,1,"Driving Finger Roll Layup Shot","2PT Field Goal",0,"Memphis Grizzlies",-9,0,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-21,2017,2799,1610612746,0,4,2,25,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Milwaukee Bucks",13,1,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-27,2017,2799,1610612746,400975658,4,4,57,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Denver Nuggets",20,17,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-03,2017,2799,1610612746,400975087,1,2,39,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Minnesota Timberwolves",-2,15,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-17,2017,2799,1610612746,400974971,5,0,54,1,"Driving Finger Roll Layup Shot","2PT Field Goal",4,"Cleveland Cavaliers",-9,39,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-12,2017,2799,1610612746,400975589,2,1,36,1,"Driving Finger Roll Layup Shot","2PT Field Goal",6,"Brooklyn Nets",56,34,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-23,2017,2799,1610612746,400975627,1,1,42,0,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Phoenix Suns",9,9,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-17,2017,2799,1610612746,400975408,1,9,38,0,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Denver Nuggets",6,10,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-27,2017,2799,1610612746,400975658,2,4,49,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Denver Nuggets",1,20,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-27,2017,2799,1610612746,400975861,2,3,01,0,"Driving Finger Roll Layup Shot","2PT Field Goal",3,"Milwaukee Bucks",-2,31,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-30,2017,2799,1610612746,400975883,4,7,09,0,"Driving Finger Roll Layup Shot","2PT Field Goal",0,"Portland Trail Blazers",5,2,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-13,2017,2799,1610612746,400975374,3,10,17,0,"Driving Floating Bank Jump Shot","2PT Field Goal",7,"Sacramento Kings",75,11,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-27,2017,2799,1610612746,400975048,3,1,07,1,"Driving Floating Bank Jump Shot","2PT Field Goal",2,"Los Angeles Lakers",28,8,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-18,2017,2799,1610612746,400975795,1,3,03,0,"Driving Floating Bank Jump Shot","2PT Field Goal",2,"Portland Trail Blazers",20,8,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-02,2017,2799,1610612746,400975299,2,9,46,1,"Driving Floating Bank Jump Shot","2PT Field Goal",4,"Memphis Grizzlies",-24,43,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-04,2017,2799,1610612746,400975694,3,0,03,0,"Driving Floating Bank Jump Shot","2PT Field Goal",2,"Brooklyn Nets",18,11,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-04-05,2017,2799,1610612746,400975925,3,0,27,0,"Driving Floating Bank Jump Shot","2PT Field Goal",9,"Utah Jazz",82,52,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-01,2017,2799,1610612746,400974867,4,10,32,1,"Driving Floating Bank Jump Shot","2PT Field Goal",3,"Dallas Mavericks",37,15,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-04-03,2017,2799,1610612746,400975914,4,5,05,0,"Driving Floating Bank Jump Shot","2PT Field Goal",2,"San Antonio Spurs",22,17,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-10,2017,2799,1610612746,400974923,1,3,59,0,"Driving Floating Bank Jump Shot","2PT Field Goal",7,"Oklahoma City Thunder",-62,43,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-09,2017,2799,1610612746,400975126,3,0,05,1,"Driving Floating Bank Jump Shot","2PT Field Goal",16,"Washington Wizards",-106,120,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-04,2017,2799,1610612746,400974882,3,0,47,1,"Driving Floating Bank Jump Shot","2PT Field Goal",1,"Memphis Grizzlies",11,7,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-18,2017,2799,1610612746,400975795,3,2,29,0,"Driving Floating Bank Jump Shot","2PT Field Goal",3,"Portland Trail Blazers",32,16,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-04-03,2017,2799,1610612746,400975914,4,7,46,0,"Driving Floating Bank Jump Shot","2PT Field Goal",2,"San Antonio Spurs",13,16,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-12,2017,2799,1610612746,400975589,1,1,20,1,"Driving Floating Bank Jump Shot","2PT Field Goal",9,"Brooklyn Nets",88,35,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-10-28,2017,2799,1610612746,400974835,1,2,14,1,"Driving Floating Bank Jump Shot","2PT Field Goal",2,"Detroit Pistons",20,6,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-03,2017,2799,1610612746,400975087,1,1,06,1,"Driving Floating Bank Jump Shot","2PT Field Goal",10,"Minnesota Timberwolves",98,36,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-02,2017,2799,1610612746,400975078,1,0,37,0,"Driving Floating Jump Shot","2PT Field Goal",7,"Dallas Mavericks",32,68,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-23,2017,2799,1610612746,400975238,4,11,45,0,"Driving Floating Jump Shot","2PT Field Goal",10,"Memphis Grizzlies",-54,85,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-02,2017,2799,1610612746,400975078,1,0,00,0,"Driving Floating Jump Shot","2PT Field Goal",9,"Dallas Mavericks",-74,64,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-02,2017,2799,1610612746,400975078,2,3,18,1,"Driving Floating Jump Shot","2PT Field Goal",11,"Dallas Mavericks",44,105,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-05,2017,2799,1610612746,400974888,4,1,43,1,"Driving Floating Jump Shot","2PT Field Goal",10,"Miami Heat",0,105,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-27,2017,2799,1610612746,400975048,1,6,34,1,"Driving Floating Jump Shot","2PT Field Goal",5,"Los Angeles Lakers",51,9,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-10-21,2017,2799,1610612746,400974788,4,10,44,1,"Driving Floating Jump Shot","2PT Field Goal",8,"Phoenix Suns",-14,85,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-10,2017,2799,1610612746,400975574,3,2,15,0,"Driving Floating Jump Shot","2PT Field Goal",12,"Philadelphia 76ers",29,117,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-29,2017,2799,1610612746,400975275,2,11,27,0,"Driving Floating Jump Shot","2PT Field Goal",8,"Los Angeles Lakers",30,83,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-04-03,2017,2799,1610612746,400975914,4,2,45,1,"Driving Floating Jump Shot","2PT Field Goal",3,"San Antonio Spurs",0,34,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-08,2017,2799,1610612746,400975344,3,7,02,1,"Driving Floating Jump Shot","2PT Field Goal",13,"Atlanta Hawks",-13,131,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-05,2017,2799,1610612746,400974888,4,11,37,1,"Driving Floating Jump Shot","2PT Field Goal",5,"Miami Heat",3,57,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-02,2017,2799,1610612746,400975299,2,4,29,1,"Driving Floating Jump Shot","2PT Field Goal",4,"Memphis Grizzlies",32,30,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-14,2017,2799,1610612746,400975604,4,8,52,0,"Driving Floating Jump Shot","2PT Field Goal",3,"Boston Celtics",19,34,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-26,2017,2799,1610612746,400975464,4,7,28,1,"Driving Floating Jump Shot","2PT Field Goal",6,"Memphis Grizzlies",-24,64,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-14,2017,2799,1610612746,400975604,4,2,23,1,"Driving Floating Jump Shot","2PT Field Goal",6,"Boston Celtics",3,63,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-10-19,2017,2799,1610612746,400974442,4,7,09,1,"Driving Floating Jump Shot","2PT Field Goal",6,"Los Angeles Lakers",63,5,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-23,2017,2799,1610612746,400975824,1,3,49,1,"Driving Floating Jump Shot","2PT Field Goal",9,"Indiana Pacers",61,68,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-12,2017,2799,1610612746,400975589,4,10,58,0,"Driving Floating Jump Shot","2PT Field Goal",6,"Brooklyn Nets",-49,43,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-25,2017,2799,1610612746,400975843,4,2,47,1,"Driving Floating Jump Shot","2PT Field Goal",10,"Toronto Raptors",-96,52,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-11,2017,2799,1610612746,400975362,3,7,59,1,"Driving Floating Jump Shot","2PT Field Goal",4,"Sacramento Kings",9,46,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-30,2017,2799,1610612746,400975498,2,7,01,1,"Driving Floating Jump Shot","2PT Field Goal",11,"Portland Trail Blazers",51,106,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-20,2017,2799,1610612746,400975216,1,0,55,0,"Driving Floating Jump Shot","2PT Field Goal",12,"Phoenix Suns",-89,83,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-13,2017,2799,1610612746,400975374,1,11,05,0,"Driving Floating Jump Shot","2PT Field Goal",7,"Sacramento Kings",38,61,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-10-26,2017,2799,1610612746,400974819,3,1,35,1,"Driving Floating Jump Shot","2PT Field Goal",6,"Portland Trail Blazers",-2,67,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-04-01,2017,2799,1610612746,400975892,1,1,09,1,"Driving Floating Jump Shot","2PT Field Goal",8,"Indiana Pacers",-8,88,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-14,2017,2799,1610612746,400975604,3,0,05,0,"Driving Floating Jump Shot","2PT Field Goal",12,"Boston Celtics",-71,102,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-30,2017,2799,1610612746,400975883,1,0,48,1,"Driving Floating Jump Shot","2PT Field Goal",3,"Portland Trail Blazers",0,32,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-27,2017,2799,1610612746,400975861,3,8,47,1,"Driving Floating Jump Shot","2PT Field Goal",9,"Milwaukee Bucks",-85,37,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-07,2017,2799,1610612746,400974905,4,11,45,0,"Driving Floating Jump Shot","2PT Field Goal",12,"San Antonio Spurs",49,112,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-12,2017,2799,1610612746,400975589,2,0,05,1,"Driving Floating Jump Shot","2PT Field Goal",9,"Brooklyn Nets",-84,38,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-08,2017,2799,1610612746,400975344,3,8,46,1,"Driving Floating Jump Shot","2PT Field Goal",9,"Atlanta Hawks",20,95,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-10-26,2017,2799,1610612746,400974819,3,0,25,0,"Driving Floating Jump Shot","2PT Field Goal",4,"Portland Trail Blazers",48,11,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-02,2017,2799,1610612746,400975681,2,6,30,1,"Driving Floating Jump Shot","2PT Field Goal",5,"New York Knicks",-6,59,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-30,2017,2799,1610612746,400975883,4,9,32,1,"Driving Floating Jump Shot","2PT Field Goal",3,"Portland Trail Blazers",-9,29,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-06,2017,2799,1610612746,400975113,1,2,57,0,"Driving Floating Jump Shot","2PT Field Goal",9,"Minnesota Timberwolves",-8,93,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-05,2017,2799,1610612746,400974888,4,4,47,1,"Driving Floating Jump Shot","2PT Field Goal",9,"Miami Heat",2,92,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-26,2017,2799,1610612746,400975464,4,4,17,1,"Driving Floating Jump Shot","2PT Field Goal",12,"Memphis Grizzlies",71,103,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-30,2017,2799,1610612746,400975883,3,8,03,0,"Driving Floating Jump Shot","2PT Field Goal",10,"Portland Trail Blazers",32,101,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-31,2017,0,1610612746,0,4,8,27,1,"Driving Floating Jump Shot","2PT Field Goal",5,"Charlotte Hornets",4,58,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-30,2017,2799,1610612746,400975883,1,3,51,1,"Driving Floating Jump Shot","2PT Field Goal",4,"Portland Trail Blazers",-3,43,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-04-03,2017,2799,1610612746,400975914,4,6,41,1,"Driving Floating Jump Shot","2PT Field Goal",2,"San Antonio Spurs",14,20,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-28,2017,2799,1610612746,400975868,3,0,06,0,"Driving Floating Jump Shot","2PT Field Goal",6,"Phoenix Suns",3,64,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-23,2017,2799,1610612746,400975238,2,11,37,0,"Driving Floating Jump Shot","2PT Field Goal",10,"Memphis Grizzlies",-106,22,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-30,2017,2799,1610612746,400975883,2,11,22,1,"Driving Floating Jump Shot","2PT Field Goal",9,"Portland Trail Blazers",44,87,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-05,2017,2799,1610612746,400974888,1,4,20,1,"Driving Floating Jump Shot","2PT Field Goal",5,"Miami Heat",-29,50,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-11,2017,2799,1610612746,400975147,3,4,48,0,"Driving Floating Jump Shot","2PT Field Goal",2,"Toronto Raptors",-17,15,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-31,2017,0,1610612746,0,4,1,26,1,"Driving Floating Jump Shot","2PT Field Goal",1,"Charlotte Hornets",-16,8,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-25,2017,2799,1610612746,400975843,3,0,11,0,"Driving Floating Jump Shot","2PT Field Goal",9,"Toronto Raptors",76,57,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-25,2017,2799,1610612746,400975843,4,10,57,0,"Driving Floating Jump Shot","2PT Field Goal",12,"Toronto Raptors",-3,125,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-17,2017,2799,1610612746,400975408,1,4,28,0,"Driving Floating Jump Shot","2PT Field Goal",5,"Denver Nuggets",-41,40,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-17,2017,2799,1610612746,400974971,4,1,12,1,"Driving Floating Jump Shot","2PT Field Goal",9,"Cleveland Cavaliers",-12,91,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-05,2017,2799,1610612746,400974888,4,4,03,1,"Driving Floating Jump Shot","2PT Field Goal",10,"Miami Heat",-1,102,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-17,2017,2799,1610612746,400974971,4,11,37,1,"Driving Floating Jump Shot","2PT Field Goal",13,"Cleveland Cavaliers",-119,62,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-02,2017,2799,1610612746,400975681,2,7,50,1,"Driving Floating Jump Shot","2PT Field Goal",8,"New York Knicks",61,59,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-17,2017,2799,1610612746,400974971,2,2,00,0,"Driving Floating Jump Shot","2PT Field Goal",12,"Cleveland Cavaliers",71,106,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-31,2017,0,1610612746,0,1,4,00,0,"Driving Floating Jump Shot","2PT Field Goal",5,"Charlotte Hornets",-52,27,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-17,2017,2799,1610612746,400975408,2,5,31,1,"Driving Floating Jump Shot","2PT Field Goal",6,"Denver Nuggets",43,43,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-25,2017,2799,1610612746,400975843,1,6,48,0,"Driving Floating Jump Shot","2PT Field Goal",9,"Toronto Raptors",2,94,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-12,2017,2799,1610612746,400975589,4,7,13,1,"Driving Floating Jump Shot","2PT Field Goal",13,"Brooklyn Nets",-52,127,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-04,2017,2799,1610612746,400975313,2,9,45,1,"Driving Floating Jump Shot","2PT Field Goal",4,"Oklahoma City Thunder",-40,0,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-02-09,2017,2799,1610612746,400975563,4,9,38,0,"Driving Floating Jump Shot","2PT Field Goal",7,"Detroit Pistons",69,16,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-20,2017,2799,1610612746,400975427,1,11,07,0,"Driving Floating Jump Shot","2PT Field Goal",9,"Utah Jazz",0,98,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-28,2017,2799,1610612746,400975868,2,6,43,0,"Driving Floating Jump Shot","2PT Field Goal",4,"Phoenix Suns",-37,27,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-12-23,2017,2799,1610612746,400975238,3,1,52,1,"Driving Floating Jump Shot","2PT Field Goal",14,"Memphis Grizzlies",98,107,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2017-11-27,2017,2799,1610612746,400975048,3,9,54,1,"Driving Floating Jump Shot","2PT Field Goal",2,"Los Angeles Lakers",-11,21,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-04-03,2017,2799,1610612746,400975914,4,3,34,1,"Driving Floating Jump Shot","2PT Field Goal",3,"San Antonio Spurs",14,27,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-13,2017,2799,1610612746,400975374,2,5,56,1,"Driving Hook Shot","2PT Field Goal",2,"Sacramento Kings",16,25,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-08,2017,2799,1610612746,400975344,2,4,13,0,"Driving Hook Shot","2PT Field Goal",5,"Atlanta Hawks",54,13,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-25,2017,2799,1610612746,400975843,2,2,06,1,"Driving Hook Shot","2PT Field Goal",6,"Toronto Raptors",-6,64,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-03-30,2017,2799,1610612746,400975883,2,8,09,0,"Driving Layup Shot","2PT Field Goal",1,"Portland Trail Blazers",16,5,0,0.00,,0.00,0.00
"Lou Williams","LA Clippers",2018-01-17,2017,2799,1610612746,400975408,3,10,33,1,"Driving Layup Shot","2PT Field Goal",1,"Denver Nuggets",13,-3,0,0.00,,0.00,0.00
