name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-08,2017,3032977,1610612749,400975123,1,9,23,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Dallas Mavericks",6,10,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-10-18,2017,3032977,1610612749,400974703,4,7,24,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Boston Celtics",-8,-4,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-13,2017,3032977,1610612749,400975161,3,2,43,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"New Orleans Pelicans",-2,10,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-02,2017,3032977,1610612749,400975517,3,8,44,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"New York Knicks",3,21,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-06,2017,3032977,1610612749,400975547,3,8,05,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"New York Knicks",-9,6,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-13,2017,3032977,1610612749,400975161,3,10,31,0,"Alley Oop Dunk Shot","2PT Field Goal",1,"New Orleans Pelicans",10,0,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-07,2017,3032977,1610612749,400974900,3,1,53,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Cleveland Cavaliers",-7,17,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-01,2017,3032977,1610612749,400975292,5,0,07,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Toronto Raptors",9,18,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-03-19,2017,3032977,1610612749,400975796,2,1,06,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,-1,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-01,2017,3032977,1610612749,400975509,3,7,37,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",-4,1,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-11,2017,3032977,1610612749,400974933,2,1,36,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",-5,-6,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-03,2017,3032977,1610612749,400975307,1,9,35,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Indiana Pacers",-1,5,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-10-18,2017,3032977,1610612749,400974703,4,8,58,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Boston Celtics",-14,8,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-19,2017,3032977,1610612749,400975204,3,4,35,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",-2,6,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-10,2017,3032977,1610612749,400974924,2,2,24,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",-2,-1,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-13,2017,3032977,1610612749,400975161,2,4,52,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"New Orleans Pelicans",9,9,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-02,2017,3032977,1610612749,400975082,2,6,24,0,"Alley Oop Layup shot","2PT Field Goal",3,"Sacramento Kings",-38,4,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-17,2017,3032977,1610612749,400975405,3,8,48,1,"Alley Oop Layup shot","2PT Field Goal",0,"Miami Heat",8,-1,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-13,2017,3032977,1610612749,400974945,4,5,31,1,"Alley Oop Layup shot","2PT Field Goal",0,"Memphis Grizzlies",-4,9,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-29,2017,3032977,1610612749,400975487,1,10,38,1,"Alley Oop Layup shot","2PT Field Goal",2,"Philadelphia 76ers",15,15,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-25,2017,3032977,1610612749,400975639,1,9,50,0,"Alley Oop Layup shot","2PT Field Goal",1,"New Orleans Pelicans",-3,12,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-13,2017,3032977,1610612749,400975161,2,5,06,0,"Alley Oop Layup shot","2PT Field Goal",0,"New Orleans Pelicans",-4,5,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-03-05,2017,3032977,1610612749,400975697,4,1,36,1,"Alley Oop Layup shot","2PT Field Goal",1,"Indiana Pacers",0,18,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-10-21,2017,3032977,1610612749,400974785,1,9,00,1,"Alley Oop Layup shot","2PT Field Goal",1,"Portland Trail Blazers",6,15,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-02,2017,3032977,1610612749,400975082,3,6,00,1,"Alley Oop Layup shot","2PT Field Goal",2,"Sacramento Kings",-3,22,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-09,2017,3032977,1610612749,400975132,3,8,28,1,"Alley Oop Layup shot","2PT Field Goal",1,"Utah Jazz",8,15,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-14,2017,3032977,1610612749,400975380,3,2,46,1,"Cutting Dunk Shot","2PT Field Goal",1,"Miami Heat",-2,14,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-07,2017,3032977,1610612749,400974900,1,1,35,1,"Cutting Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",5,-1,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-04,2017,3032977,1610612749,400975094,4,6,16,1,"Cutting Dunk Shot","2PT Field Goal",1,"Boston Celtics",-9,11,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-04-03,2017,3032977,1610612749,400975908,4,5,09,1,"Cutting Dunk Shot","2PT Field Goal",2,"Boston Celtics",22,16,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-09,2017,3032977,1610612749,400975567,1,6,46,1,"Cutting Dunk Shot","2PT Field Goal",2,"Miami Heat",-18,13,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-03-05,2017,3032977,1610612749,400975697,3,8,21,1,"Cutting Dunk Shot","2PT Field Goal",1,"Indiana Pacers",-12,13,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-13,2017,3032977,1610612749,400974945,2,1,11,1,"Cutting Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",5,7,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-05,2017,3032977,1610612749,400975317,2,11,47,1,"Cutting Dunk Shot","2PT Field Goal",0,"Toronto Raptors",5,8,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-03,2017,3032977,1610612749,400975307,2,11,21,1,"Cutting Dunk Shot","2PT Field Goal",0,"Indiana Pacers",-8,-5,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-13,2017,3032977,1610612749,400974945,4,6,48,1,"Cutting Dunk Shot","2PT Field Goal",1,"Memphis Grizzlies",2,19,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-22,2017,3032977,1610612749,400975227,4,2,13,1,"Cutting Dunk Shot","2PT Field Goal",0,"Charlotte Hornets",6,-1,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-03,2017,3032977,1610612749,400975307,2,7,49,1,"Cutting Dunk Shot","2PT Field Goal",0,"Indiana Pacers",2,7,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-12,2017,3032977,1610612749,400975368,3,7,45,1,"Cutting Dunk Shot","2PT Field Goal",1,"Golden State Warriors",-6,16,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-29,2017,3032977,1610612749,400975272,1,7,05,1,"Cutting Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",2,8,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-28,2017,3032977,1610612749,400975477,2,1,54,1,"Cutting Dunk Shot","2PT Field Goal",1,"Chicago Bulls",3,11,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-28,2017,3032977,1610612749,400975053,3,1,56,1,"Cutting Dunk Shot","2PT Field Goal",1,"Sacramento Kings",9,17,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-10,2017,3032977,1610612749,400975573,3,8,04,1,"Cutting Dunk Shot","2PT Field Goal",1,"Orlando Magic",-2,19,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-03,2017,3032977,1610612749,400975307,3,4,57,1,"Cutting Dunk Shot","2PT Field Goal",0,"Indiana Pacers",-4,5,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-10-31,2017,3032977,1610612749,400974854,1,9,34,1,"Cutting Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",-2,4,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-01,2017,3032977,1610612749,400975292,1,0,01,1,"Cutting Dunk Shot","2PT Field Goal",0,"Toronto Raptors",-3,1,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-22,2017,3032977,1610612749,400975227,2,8,46,1,"Cutting Dunk Shot","2PT Field Goal",1,"Charlotte Hornets",2,13,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-09,2017,3032977,1610612749,400975567,4,6,27,1,"Cutting Dunk Shot","2PT Field Goal",1,"Miami Heat",-5,9,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-01,2017,3032977,1610612749,400975292,4,1,38,0,"Cutting Dunk Shot","2PT Field Goal",5,"Toronto Raptors",-17,53,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-28,2017,3032977,1610612749,400975659,1,6,38,1,"Cutting Dunk Shot","2PT Field Goal",0,"Detroit Pistons",2,-4,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-03-21,2017,3032977,1610612749,0,1,8,01,1,"Cutting Dunk Shot","2PT Field Goal",2,"Los Angeles Clippers",19,11,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-03-21,2017,3032977,1610612749,0,2,9,57,1,"Cutting Dunk Shot","2PT Field Goal",1,"Los Angeles Clippers",15,5,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-09,2017,3032977,1610612749,400975567,1,0,39,1,"Cutting Dunk Shot","2PT Field Goal",0,"Miami Heat",-7,7,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-03-27,2017,3032977,1610612749,400975861,3,7,50,1,"Cutting Dunk Shot","2PT Field Goal",1,"Los Angeles Clippers",-8,8,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-09,2017,3032977,1610612749,400975132,1,7,04,1,"Cutting Dunk Shot","2PT Field Goal",1,"Utah Jazz",-3,10,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-10-23,2017,3032977,1610612749,400974795,3,1,33,1,"Cutting Dunk Shot","2PT Field Goal",0,"Charlotte Hornets",-4,5,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-06,2017,3032977,1610612749,400975110,1,0,01,1,"Cutting Dunk Shot","2PT Field Goal",2,"Detroit Pistons",11,20,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-03-17,2017,3032977,1610612749,400975787,4,1,42,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",1,"Atlanta Hawks",18,-1,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-10,2017,3032977,1610612749,400974924,3,3,49,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",3,"San Antonio Spurs",27,21,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-03-05,2017,3032977,1610612749,400975697,1,7,15,0,"Cutting Finger Roll Layup Shot","2PT Field Goal",6,"Indiana Pacers",56,24,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-25,2017,3032977,1610612749,400975639,2,11,20,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",0,"New Orleans Pelicans",-6,7,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-10-23,2017,3032977,1610612749,400974795,2,10,12,1,"Cutting Finger Roll Layup Shot","2PT Field Goal",1,"Charlotte Hornets",8,17,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-10-26,2017,3032977,1610612749,400974818,2,2,24,1,"Cutting Layup Shot","2PT Field Goal",1,"Boston Celtics",4,12,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-05,2017,3032977,1610612749,400975317,1,1,59,0,"Cutting Layup Shot","2PT Field Goal",0,"Toronto Raptors",-7,6,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-10-18,2017,3032977,1610612749,400974703,4,11,21,1,"Cutting Layup Shot","2PT Field Goal",0,"Boston Celtics",-3,7,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-25,2017,3032977,1610612749,400975639,1,6,28,1,"Cutting Layup Shot","2PT Field Goal",1,"New Orleans Pelicans",4,12,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-11,2017,3032977,1610612749,400974933,2,4,42,1,"Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",8,13,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-03-30,2017,3032977,1610612749,400975882,1,10,43,0,"Cutting Layup Shot","2PT Field Goal",2,"Los Angeles Lakers",0,25,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-29,2017,3032977,1610612749,400975272,3,0,31,1,"Cutting Layup Shot","2PT Field Goal",0,"Oklahoma City Thunder",3,8,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-30,2017,3032977,1610612749,400975067,1,5,15,1,"Cutting Layup Shot","2PT Field Goal",2,"Portland Trail Blazers",1,25,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-10,2017,3032977,1610612749,400975573,4,2,00,1,"Cutting Layup Shot","2PT Field Goal",6,"Orlando Magic",-25,62,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-03-05,2017,3032977,1610612749,400975697,4,7,43,1,"Cutting Layup Shot","2PT Field Goal",0,"Indiana Pacers",3,4,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-03-17,2017,3032977,1610612749,400975787,2,4,42,1,"Cutting Layup Shot","2PT Field Goal",2,"Atlanta Hawks",-29,-2,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-28,2017,3032977,1610612749,400975053,2,5,49,1,"Cutting Layup Shot","2PT Field Goal",2,"Sacramento Kings",-19,10,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-23,2017,3032977,1610612749,400975622,2,2,43,0,"Cutting Layup Shot","2PT Field Goal",8,"Toronto Raptors",13,88,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-10,2017,3032977,1610612749,400974924,1,7,39,1,"Cutting Layup Shot","2PT Field Goal",1,"San Antonio Spurs",3,13,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-26,2017,3032977,1610612749,400975247,3,0,53,1,"Cutting Layup Shot","2PT Field Goal",1,"Chicago Bulls",-4,14,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-10,2017,3032977,1610612749,400975573,4,5,09,1,"Cutting Layup Shot","2PT Field Goal",1,"Orlando Magic",-5,17,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-10-21,2017,3032977,1610612749,400974785,2,1,40,1,"Cutting Layup Shot","2PT Field Goal",1,"Portland Trail Blazers",9,17,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-04,2017,3032977,1610612749,400975531,1,6,19,1,"Driving Bank Hook Shot","2PT Field Goal",5,"Brooklyn Nets",57,6,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-10-31,2017,3032977,1610612749,400974854,1,0,01,1,"Driving Bank Hook Shot","2PT Field Goal",2,"Oklahoma City Thunder",0,27,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-04,2017,3032977,1610612749,400975531,3,10,17,1,"Driving Dunk Shot","2PT Field Goal",1,"Brooklyn Nets",-5,13,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-01,2017,3032977,1610612749,400974856,3,2,25,1,"Driving Dunk Shot","2PT Field Goal",1,"Charlotte Hornets",-5,10,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-02,2017,3032977,1610612749,400975517,2,8,16,1,"Driving Dunk Shot","2PT Field Goal",0,"New York Knicks",4,6,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-10-20,2017,3032977,1610612749,400974443,4,3,32,1,"Driving Dunk Shot","2PT Field Goal",1,"Cleveland Cavaliers",5,16,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-07,2017,3032977,1610612749,400974900,1,11,46,1,"Driving Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",-9,4,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-26,2017,3032977,1610612749,400975465,2,0,03,1,"Driving Dunk Shot","2PT Field Goal",1,"Brooklyn Nets",-10,14,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-01,2017,3032977,1610612749,400975292,4,3,52,1,"Driving Dunk Shot","2PT Field Goal",0,"Toronto Raptors",3,8,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-23,2017,3032977,1610612749,400975622,4,7,43,0,"Driving Dunk Shot","2PT Field Goal",3,"Toronto Raptors",-20,23,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-30,2017,3032977,1610612749,400975067,2,0,57,1,"Driving Dunk Shot","2PT Field Goal",1,"Portland Trail Blazers",0,15,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-30,2017,3032977,1610612749,400975067,1,3,17,1,"Driving Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",-2,9,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-03-04,2017,3032977,1610612749,400975693,1,2,16,1,"Driving Dunk Shot","2PT Field Goal",2,"Philadelphia 76ers",14,26,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-03-21,2017,3032977,1610612749,0,2,5,24,1,"Driving Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",4,4,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-25,2017,3032977,1610612749,400975639,1,7,29,1,"Driving Dunk Shot","2PT Field Goal",1,"New Orleans Pelicans",3,15,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-28,2017,3032977,1610612749,400975659,1,7,04,1,"Driving Dunk Shot","2PT Field Goal",1,"Detroit Pistons",3,17,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-03-02,2017,3032977,1610612749,400975678,1,10,27,1,"Driving Dunk Shot","2PT Field Goal",0,"Indiana Pacers",-2,0,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-04,2017,3032977,1610612749,400975094,3,7,54,1,"Driving Dunk Shot","2PT Field Goal",0,"Boston Celtics",-4,3,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-28,2017,3032977,1610612749,400975264,2,5,25,1,"Driving Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",-2,8,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-10-20,2017,3032977,1610612749,400974443,2,3,15,1,"Driving Dunk Shot","2PT Field Goal",1,"Cleveland Cavaliers",5,10,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-11,2017,3032977,1610612749,400974933,1,2,12,1,"Driving Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",-5,6,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-03-30,2017,3032977,1610612749,400975882,4,2,18,1,"Driving Dunk Shot","2PT Field Goal",1,"Los Angeles Lakers",0,11,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-08,2017,3032977,1610612749,400975123,3,5,50,1,"Driving Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",-9,1,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-11,2017,3032977,1610612749,400974933,1,2,33,1,"Driving Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",-7,2,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-03-29,2017,3032977,1610612749,400975874,1,4,08,1,"Driving Dunk Shot","2PT Field Goal",0,"Golden State Warriors",-3,-1,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-04,2017,3032977,1610612749,400975531,3,8,51,1,"Driving Dunk Shot","2PT Field Goal",1,"Brooklyn Nets",-2,11,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-28,2017,3032977,1610612749,400975264,1,11,01,1,"Driving Dunk Shot","2PT Field Goal",1,"Minnesota Timberwolves",4,10,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-01,2017,3032977,1610612749,400975509,3,10,37,0,"Driving Dunk Shot","2PT Field Goal",6,"Minnesota Timberwolves",46,51,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-03,2017,3032977,1610612749,400974870,3,1,52,1,"Driving Dunk Shot","2PT Field Goal",0,"Detroit Pistons",-2,8,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-28,2017,3032977,1610612749,400975477,3,8,18,1,"Driving Dunk Shot","2PT Field Goal",0,"Chicago Bulls",2,5,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-29,2017,3032977,1610612749,400975272,2,9,49,1,"Driving Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",-5,-1,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-29,2017,3032977,1610612749,400975272,4,0,00,1,"Driving Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,8,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-04-05,2017,3032977,1610612749,400975924,2,6,47,1,"Driving Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",-4,5,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-04-03,2017,3032977,1610612749,400975908,3,6,03,1,"Driving Dunk Shot","2PT Field Goal",0,"Boston Celtics",8,4,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-09,2017,3032977,1610612749,400975132,2,8,24,1,"Driving Dunk Shot","2PT Field Goal",0,"Utah Jazz",1,6,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-09,2017,3032977,1610612749,400975132,4,0,17,1,"Driving Dunk Shot","2PT Field Goal",0,"Utah Jazz",3,-1,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-11-13,2017,3032977,1610612749,400974945,2,10,02,1,"Driving Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",-2,6,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-04-03,2017,3032977,1610612749,400975908,3,9,52,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Boston Celtics",15,23,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-03-29,2017,3032977,1610612749,400975874,4,3,35,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Golden State Warriors",-16,7,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-12-16,2017,3032977,1610612749,400975184,2,2,22,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Houston Rockets",1,13,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-26,2017,3032977,1610612749,400975465,3,7,12,1,"Driving Finger Roll Layup Shot","2PT Field Goal",0,"Brooklyn Nets",2,1,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-14,2017,3032977,1610612749,400975380,3,0,57,1,"Driving Finger Roll Layup Shot","2PT Field Goal",8,"Miami Heat",72,41,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-01-26,2017,3032977,1610612749,400975465,1,0,05,1,"Driving Finger Roll Layup Shot","2PT Field Goal",2,"Brooklyn Nets",5,21,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-04-03,2017,3032977,1610612749,400975908,4,5,52,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Boston Celtics",11,4,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-04-03,2017,3032977,1610612749,400975908,4,4,07,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"Boston Celtics",9,8,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2018-02-02,2017,3032977,1610612749,400975517,4,0,01,1,"Driving Finger Roll Layup Shot","2PT Field Goal",1,"New York Knicks",-10,16,0,0.00,,0.00,0.00
